id	lane	standardir_scope	lfortran_scope	classification	observation	evidence	action
M001	entry-points	standardir_start, r_program, r_program-unit	units, script_unit	expected_difference	StandardIR exposes the normative program and program-unit categories; LFortran accepts complete units plus partial interactive units and separator trivia.	E0147/R000016/fortran2023.y:standardir_start; parser.yy:622-645	keep separate selected-root and closure-validator exports
M002	entry-points	r_main-program, r_external-subprogram, r_function-subprogram, r_subroutine-subprogram	program, function, subroutine	expected_difference	The correspondence is by language role, not spelling: LFortran combines implementation actions and the StandardIR keeps numbered normative wrappers.	E0147/R000016/fortran2023.y:5922-6645; parser.yy:908-1085	add anchor witnesses without copying productions
M003	program-units	r_module, r_submodule, r_block-data	module, submodule, block_data	no_defect_found	The required headers, bodies, optional parts and terminators agree after names and separator/trivia handling are ignored.	E0147/R000016/fortran2023.y:5083-5108,6588-6620; parser.yy:654-673	retain source-backed bodies; recheck after each projection change
M004	program-units	r_module-subprogram-part, r_internal-subprogram-part	contains_block_opt, sub_or_func_star	expected_difference	LFortran factors implementation lists and carries AST actions; StandardIR retains the normative category boundaries.	E0147/R000016/fortran2023.y; parser.yy:713-731	prove any later factoring with generic witnesses
M005	lexical-terminals	r_add-op, r_letter-spec, r__xE2__x80__x93_	TK_MINUS, '-' and expression precedence	target_defect	Pre-repair baseline retained U+2013 as EN_DASH instead of canonical source spelling '-'; the post-repair replay resolves this target defect.	E0148/R000001/glyphs.tsv; E0147/R000018/fortran2023.y; parser.yy:103-105	D0090; repaired by 424853273; replay-status.tsv
M006	lexical-terminals	r_char-literal-constant, r_boz-literal-constant, r__xE2__x80__x99_	TK_STRING, TK_BOZ_CONSTANT	target_defect	Pre-repair baseline retained U+2019 as RIGHT_SINGLE_QUOTE instead of canonical ASCII apostrophe spelling; the post-repair replay resolves this target defect.	E0148/R000001/glyphs.tsv; E0147/R000018/fortran2023.y; parser.yy:101,121	D0090; repaired by 424853273; replay-status.tsv
M007	lexical-terminals	LETTER, DIGIT, REP_CHAR, Unicode lexical aliases	TK_NAME, TK_STRING, TK_BOZ_CONSTANT and tokenizer actions	projection_gap	StandardIR emits parser terminals but no companion lexer ABI/pattern contract equivalent to the tokenizer declarations surrounding parser.yy.	E0147/R000016/fortran2023.y:1-18; parser.yy:94-152	define Bison lexer contract separately; do not put lexer actions in StandardIR
M008	program-units	r_program, r_module, r_submodule, r_block-data	units and corresponding unit rules	standardir_advantage	StandardIR preserves source rule/page/byte lineage for every retained alternative; the LFortran Bison file has no equivalent normative provenance on its productions.	E0147/R000016/fortran2023.y comments; parser.yy:622-673	retain as a positive result
M009	declarations-and-types	r_declaration-type-spec, r_type-declaration-stmt, r_derived-type-def	var_decl, derived_type_decl, decl_statement	expected_difference	LFortran combines parser-oriented declarations and adds implementation-specific forms; this is not evidence that StandardIR is missing a rule.	E0147/R000016/fortran2023.y; parser.yy:748-920	compare by source anchors and corpus, not names
M010	names-and-designators	r_name and distinct semantic name roles	id and role-specific LFortran AST construction	target_specialization_gap	Distinct aliases such as object-name, procedure-name and type-name reduce from the same r_name, producing large reduce/reduce families in the generated parser.	E0148/R000001/standardir-program-root.output:State 423,619; parser.yy:718-731	collapse only in a parser projection, retaining role metadata in StandardIR
M011	names-and-designators	r_array-element, r_coindexed-named-object, r_structure-component, r_designator	designator and related cases	target_specialization_gap	Several normative role categories share r_data-ref and remain separate target reductions; LFortran factors them into parser categories and defers distinctions to AST/semantics.	E0148/R000001/standardir-program-root.output:State 215,422; parser.yy:2410-2440	add generic alias-family factoring and a language-equivalence witness
M012	expressions-and-operators	r_level-1..5-expr, r_expr, r_add-op and precedence ladder	expr plus %left/%right declarations	expected_difference	The StandardIR preserves numbered precedence productions; LFortran flattens them and uses Bison precedence directives. Neither shape alone proves equivalence.	E0147/R000016/fortran2023.y:3600-3650; parser.yy:2445-2505	add generic normalization witnesses before factoring
M013	expressions-and-operators	r_add-op and duplicate source occurrences	TK_PLUS, TK_MINUS and one parser alternative	projection_gap	The same source body at multiple PDF locations is emitted as repeated target alternatives rather than one body with merged lineage.	E0148/R000001/duplicate-occurrences.tsv	merge only identical target bodies with all lineage retained
M014	executable-constructs	r_action-stmt, r_if-construct, r_do-construct, r_select-construct	statement, if_statement, do_statement, select_statement	expected_difference	LFortran has AST actions, trivia separators and implementation factoring; the source-backed categories are more granular but structurally cover the same families.	E0147/R000016/fortran2023.y; parser.yy:1200-1700	use parser and compiler corpus oracles later
M015	io-format-and-edit-descriptors	r_io-control-spec, r_format-item, r_data-edit-desc, r_position-edit-desc	read/write/format and tokenizer-level format handling	expected_difference	LFortran uses implementation tokens and actions; current StandardIR witnesses R1307 and R1315 are complete and not the old truncation defects.	E0147/R000016/fortran2023.y:2271-2335,5596-5630; parser.yy:1800-2100	keep stale E0013 critique closed
M016	coarray-sync-and-teams	r_change-team, r_sync-*, r_event-*, r_lock-*	change_team_statement, sync_*, event_*, lock_* 	expected_difference	The common construct families exist, but LFortran uses different helper/list names and AST actions.	E0147/R000016/fortran2023.y; parser.yy:2000-2400	run fixed source corpus and compiler oracles
M017	normalization-and-provenance	all generated helper h_r_* rules	LFortran hand-factored helper rules	projection_gap	The generated target has no generic acceptance witness for left-recursion removal, list expansion, nullable helper introduction or role alias factoring.	E0148 findings F006/F009	add normalization-class witnesses, not Fortran-specific patches
M018	normalization-and-provenance	standardir_start and selected r_program	%start units	projection_gap	The default StandardIR Bison file is a closure validator, not the production parser entry point; selected replay retains unreachable rules.	E0148/R000001/summary.json and standardir-program-root.stderr	add explicit selected-root/pruned export and label closure output
M019	normalization-and-provenance	all source-backed alternatives	all LFortran alternatives	method_gap	There is no honest one-to-one body comparator because the grammars factor names, expressions, separators and extensions differently.	E0148 F009; this matrix	keep the manual matrix plus generic inventories; do not claim equivalence from counts
M020	normalization-and-provenance	Bison output without conflict budget	%expect 213, %expect-rr 180	projection_gap	LFortran records a parser conflict budget; StandardIR records raw Bison conflicts but does not emit a target policy or expected-conflict contract.	parser.yy:12-13; E0148/R000001/*.output	add generated conflict evidence/policy after selected-root mode exists
M021	normalization-and-provenance	all source-backed syntax records	LFortran parser actions and extensions	standardir_advantage	StandardIR has no copied LFortran actions or extensions and each production is tied back to J3-24-007; this is a provenance and clean-boundary advantage, not a runtime-performance claim.	AGENTS.md provenance gate; E0147 metadata	retain and report explicitly
M022	source-continuations	R741, R843, R1307	corresponding declaration, implied-do and edit-descriptor families	no_defect_found	The current source-backed projection retains the complete RHS after page-spanning extraction: procedure component declarations include attribute and declaration lists, data implied-do includes bounds and optional stride, and data edit descriptors include Z/F/E/EN/ES/EX/G/L/A/AT/D/DT alternatives.	E0147/R000022/fortran2023.y:1866,1759,5210; E0147/R000022/input/standardir.sx:R741,R843,R1307	keep the source-span audit and replay these anchors after normalization changes
M023	notation-tokens	R1103, R1315	associate and position-edit productions	no_defect_found	The current target treats association-list and wait-like names as references, and emits T n, TL n, TR n and n X as separate token/reference sequences; the earlier apparent literal-token and truncation findings describe stale output, not the current replay.	E0147/R000022/fortran2023.y:606,5020; E0147/R000022/source-projection.tsv	retain as a regression anchor; do not add hand-written token repairs
M024	program-units	R1416, R1417, R1418	submodule and parent-identifier productions	expected_difference	The current output contains the optional specification/module-subprogram parts, the SUBMODULE parent identifier and the optional ancestor:parent-submodule form, with duplicate R1416 source occurrences merged into one body with both lineages. LFortran uses two parser alternatives for the same accepted syntax.	E0147/R000022/fortran2023.y:5971-5988; /home/ert/code/lfortran-12385/src/lfortran/parser/parser.yy:659-666	retain normative role/provenance; compare behavior separately
M025	normalization-and-provenance	r_array-section, h_r_R918_1, h_r_R918_2, r_complex-part-designator	LFortran designator and expression factoring	target_specialization_gap	Generic left-recursion elimination substitutes the mutually recursive R918/R915 family into the selected designator path but leaves four unreachable normalized symbols and seven Bison-useless rules. The source roles and lineages remain present, so this is a target-pruning/witness gap rather than evidence that R918 or R915 is absent from StandardIR.	E0147/R000022/fortran2023.y:2219-2250, E0147/R000022/validate-final2.log, /home/ert/code/lfortran-12385/src/lfortran/parser/parser.yy:2219-2280	generate a reachability/pruning witness and omit only proven unreachable normalized rules
M026	parser-runtime-and-lexer	selected parser target	LFortran units/parser.yy	reference_advantage	LFortran currently supplies executable lexer actions, token payload types, precedence declarations, AST actions and a checked conflict budget; StandardIR currently supplies a source-backed grammar plus a separate lexer contract but not those runtime actions. This is a real reference implementation advantage, not a normative source correction.	/home/ert/code/lfortran-12385/src/lfortran/parser/parser.yy:12-152,2410-2505; E0147/R000022/lexer-contract.jsonl	close the generic parser-target and lexer-runtime contracts without copying LFortran actions
