constraint_id	associated_rules	line	page	status	form	subject	applicability	required_facts	provided_facts	predicate_a	predicate_b	source_phrase	adjudication	reason
C601	R603	2809	67	resolved	maximum	name	name	parsed-name	checked-name-length	(le (name-length name) 63)	-	The maximum length of a name is 63 characters.	accepted	E0083 exact bounded numeric statement
C603	R611	2878	69	resolved	existence	digit-in-label	label	parsed-label	checked-label-digits	(exists digit-in-label (ne (value digit-in-label) 0))	-	At least one digit in a label shall be nonzero.	accepted	E0083 exact existential and inequality statement
C718	R709	3296	80	resolved	type-membership	scalar-int-constant-name	constant-name	resolved-symbol type-fact	checked-kind-constant	(and (named-constant scalar-int-constant-name) (type-is scalar-int-constant-name integer))	-	A scalar-int-constant-name shall be a named constant of type integer.	accepted	E0083 exact conjunction of named-constant and type membership
C719	R709	3297	80	resolved	nonnegative	kind-param	kind-param	constant-expression-value	checked-nonnegative-kind	(ge (value kind-param) 0)	-	The value of kind-param shall be nonnegative.	accepted	E0083 exact lower-bound statement
C721	R714	3355	81	resolved	implication	exponent-letter	kind-param-and-exponent-letter	parsed-kind-param parsed-exponent-letter	checked-exponent-letter	(implies (and (present kind-param) (present exponent-letter)) (eq exponent-letter E))	-	If both kind-param and exponent-letter appear, exponent-letter shall be E.	accepted	E0083 exact conditional equality statement
C725	R723	3452	83	resolved	exclusion	int-literal-constant	int-literal-constant	parsed-int-literal	checked-int-literal-kind	(not (has-kind-param int-literal-constant))	-	The int-literal-constant shall not include a kind-param.	accepted	E0083 exact exclusion statement
C7117	R773	4738	113	resolved	finite-domain	digit	digit	parsed-digit	checked-digit-domain	(in digit (0 1))	-	digit shall have one of the values 0 or 1.	accepted	E0083 exact finite-domain statement
C7118	R774	4741	113	resolved	finite-domain	digit	digit	parsed-digit	checked-digit-domain	(in digit (0 1 2 3 4 5 6 7))	-	digit shall have one of the values 0 through 7.	accepted	E0083 exact finite-domain statement
C795	R754	4394	105	resolved	accessible-membership	type-name	type-spec	resolved-symbol type-fact accessibility-fact	checked-derived-type	(and (resolved type-name) (accessible type-name) (derived-type type-name))	-	type-name shall be the name of an accessible derived type.	accepted	E0084 exact accessibility and type membership
C1404	R1409	13757	318	resolved	conditional-membership	module-name	module-spec	parsed-module-nature resolved-module-name module-kind-fact	checked-intrinsic-module	(implies (eq module-nature INTRINSIC) (intrinsic-module module-name))	-	If module-nature is INTRINSIC, module-name shall be the name of an intrinsic module.	accepted	E0084 exact conditional module-kind relation
C1405	R1409	13758	318	resolved	conditional-membership	module-name	module-spec	parsed-module-nature resolved-module-name module-kind-fact	checked-nonintrinsic-module	(implies (eq module-nature NON_INTRINSIC) (nonintrinsic-module module-name))	-	If module-nature is NON_INTRINSIC, module-name shall be the name of a nonintrinsic module.	accepted	E0084 exact conditional module-kind relation
C1526	R1522	14412	334	resolved	alternative-membership	procedure-name	procedure-reference	resolved-symbol symbol-kind-fact	checked-procedure-name	(or (generic-name procedure-name) (procedure-name procedure-name))	-	A procedure-name shall be a generic name or the name of a procedure.	accepted	E0084 exact alternative symbol-kind relation
C1587	R1547	15472	358	resolved	order-or-association	named-constant	scalar-expr	parsed-scalar-expr declaration-fact use-association-fact	checked-constant-reference	(or (declared-earlier named-constant) (use-accessible named-constant))	-	Named constants in scalar-expr shall have been declared earlier in the scoping unit or made accessible by use	accepted	E0084 declaration order or association relation
C1590	R1547	15479	358	resolved	uniqueness	dummy-arg-name-list	dummy-arg-list	parsed-dummy-arg-name-list names-fact	checked-unique-dummy-args	(unique dummy-arg-name-list)	-	A given dummy-arg-name shall not appear more than once in a given dummy-arg-name-list.	accepted	E0084 exact uniqueness relation
C738	R726	3623	87	resolved	conditional-presence	type-definition	derived-type-definition	type-definition deferred-binding-fact	checked-abstract-presence	(implies (or (contains-deferred-binding type-definition) (inherits-deferred-binding type-definition)) (present ABSTRACT))	-	If the type definition contains or inherits (7.5.7.2) a deferred type-bound procedure (7.5.5), ABSTRACT shall appear.	accepted	E0085 joined continuation and referenced clauses
C937	R929	6770	159	resolved	conditional-alternative	allocate-object	allocate-stmt	allocate-object-facts type-parameter-fact polymorphism-fact	checked-allocate-type-source	(implies (or (has-deferred-type-parameter allocate-object) (unlimited-polymorphic allocate-object) (abstract-type allocate-object)) (or (present type-spec) (present source-expr)))	-	If any allocate-object has a deferred type parameter, is unlimited polymorphic, or is of abstract type, either type-spec or source-expr shall appear.	accepted	E0085 joined continuation and alternative condition
C1017	R1034	8315	193	resolved	conditional-alternative	data-pointer-object	pointer-association	data-target-facts data-pointer-object-facts polymorphism-fact type-fact	checked-unlimited-target-association	(implies (unlimited-polymorphic data-target) (or (unlimited-polymorphic data-pointer-object) (bind-type data-pointer-object) (sequence-type data-pointer-object)))	-	If data-target is unlimited polymorphic, data-pointer-object shall be unlimited polymorphic, or of a type with the BIND attribute or the SEQUENCE attribute.	accepted	E0085 joined continuation and referenced type alternatives
C1166	R1156	9667	224	resolved	exclusion	derived-type-spec	select-type-construct	parsed-type-spec type-fact type-attribute-facts	checked-select-type-spec	(not (and (derived-type derived-type-spec) (or (has-attribute derived-type-spec BIND) (has-attribute derived-type-spec SEQUENCE))))	-	The type-spec or derived-type-spec shall not specify a derived type with the BIND attribute or the SEQUENCE attribute.	accepted	E0085 joined continuation and attribute exclusion
C1588	R1547	15475	358	unresolved	implicit-type-parameter-agreement	implicit-typed-reference	statement-function-definition	-	-	-	-	-	not-ready	E0085 current fact vocabulary lacks implied type parameters and the extracted two-column text has no contiguous witness
C1579	R1544	15386	356	resolved	conditional-exclusion	entry-name	entry-statement	result-presence declaration-facts	checked-entry-result-name	(implies (present RESULT) (not (declared-in-specification entry-name)))	-	If RESULT appears, the entry-name shall not appear in any specification or type declaration statement in the scoping unit of the function subprogram.	accepted	E0085 joined continuation and scope fact
C734	R727	3618	87	disputed	negative-disjunction-scope	type-name	derived-type-definition	resolved-type type-name-fact intrinsic-type-fact	checked-type-name	(not (or (eq type-name DOUBLEPRECISION) (intrinsic-type-name type-name)))	(or (not (eq type-name DOUBLEPRECISION)) (intrinsic-type-name type-name))	A derived type type-name shall not be DOUBLEPRECISION or the same as the name of any intrinsic type defined in this document.	pending	E0086 competing scope normalization retained pending adjudication
C1306	R1308	12540	290	resolved	conditional-alternative	w	edit-descriptor	parsed-edit-descriptor width-fact	checked-edit-width	(and (implies (in descriptor (I B O Z D E EN ES EX F G)) (ge w 0)) (implies (not-in descriptor (I B O Z D E EN ES EX F G)) (gt w 0)))	-	w shall be zero or positive for the I, B, O, Z, D, E, EN, ES, EX, F, and G edit descriptors. w shall be positive for all other edit descriptors.	accepted	E0086 joined two-sentence alternative
C1515	R1516	14318	332	resolved	conjunction-reference	name	procedure-interface	resolved-symbol interface-facts declaration-facts intrinsic-table-fact	checked-interface-name	(and (or (abstract-interface name) (explicit-interface-procedure name)) (implies (procedure-declaration name) (declared-earlier name)) (implies (intrinsic-procedure name) (in-table-16-2 name)))	-	The name shall be the name of an abstract interface or of a procedure that has an explicit interface. || If name is declared by a procedure-declaration-stmt it shall be previously declared. || If name denotes an intrinsic procedure it shall be one that is listed in Table 16.2.	accepted	E0086 joined reference and conditional facts
