constraint_id	associated_rules	inventory_line	inventory_page	canonical_page	byte_start	byte_length	source_hash	origin	status	form	subject	applicability	predicate	structure_context	source_text
C601	R603	2809	67	68	175810	61	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	bounded-inequality	name	always	(le (name-length name) 63)	R603@68:175756	15 C601 (R603) The maximum length of a name is 63 characters.
C603	R611	2878	69	70	177672	62	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	existence	digit-in-label	always	(exists digit-in-label (ne (value digit-in-label) 0))	R611@70:177609	15 C603 (R611) At least one digit in a label shall be nonzero.
C718	R709	3296	80	81	207879	83	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	conjunction-type-membership	scalar-int-constant-name	always	(and (named-constant scalar-int-constant-name) (type-is scalar-int-constant-name integer))	R709@80:207647,R709@80:207682	5 C718 (R709) A scalar-int-constant-name shall be a named constant of type integer.
C719	R709	3297	80	81	207963	59	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	bounded-inequality	kind-param	always	(ge (value kind-param) 0)	R709@80:207647,R709@80:207682	6 C719 (R709) The value of kind-param shall be nonnegative.
C721	R714	3355	81	82	211425	89	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	implication	exponent-letter	conditional	(implies (and (present kind-param) (present exponent-letter)) (eq exponent-letter E))	R714@82:211120,R714@82:211211	18 C721 (R714) If both kind-param and exponent-letter appear, exponent-letter shall be E.
C725	R723	3452	83	84	217756	71	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	exclusion	int-literal-constant	always	(not (has-kind-param int-literal-constant))	R723@84:217536,R723@84:217580	38 C725 (R723) The int-literal-constant shall not include a kind-param.
C740	R726	3626	87	88	230035	61	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	presence-absence	sequence	conditional	(implies (present extends) (not (present sequence)))	R726@88:229000,R726@88:229045,R726@88:229075,R726@88:229106,R726@88:229128,R726@88:229161	28 C740 (R726) If EXTENDS appears, SEQUENCE shall not appear.
C7102	R756	4421	106	107	278893	76	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	cardinality	component-spec	always	(le (count component-spec component) 1)	R756@106:278556	6 C7102 (R756) At most one component-spec shall be provided for a component.
C7117	R773	4738	113	114	296548	57	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	finite-membership	digit	always	(in digit (0 1))	R773@114:296461,R773@114:296517	6 C7117 (R773) digit shall have one of the values 0 or 1.
C7118	R774	4741	113	114	296692	62	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	finite-membership	digit	always	(in digit (0 1 2 3 4 5 6 7))	R774@114:296606,R774@114:296661	9 C7118 (R774) digit shall have one of the values 0 through 7.
