id	area	standardir_current	lfortran_reference	classification	evidence	decision_or_next_gate
M027	stale-anchor-set	R741,R843,R1307,R1315 and R1416-R1418 are complete in the current source-backed candidate	parser.yy has corresponding parser-oriented families but no J3 source lineage	method_gap	E0153/R000002/anchor-check.tsv and feature-audit.tsv; E0153/R000002/fortran2023.y:1741,1848,5002,5192,5952,5965; J3/24-007 source spans	keep as regression anchors; never repair by rule number
M028	procedure-component	R741 contains interface, component attributes, :: and declaration list	procedure_decl is parser-factored and carries AST action code	standardir_advantage	fortran2023.y:5192-5195; parser.yy:838-847	retain normative production; add executable parser actions only in a later target
M029	data-implied-do	R843 contains variable, assignment, two bounds, optional stride and closing delimiter	LFortran uses parser-oriented data-object alternatives and AST actions	standardir_advantage	fortran2023.y:1848-1852; parser.yy:1441-1458; J3/24-007 source span	retain exact source structure and add behavior witness later
M030	format-descriptors	R1307 contains I/B/O/Z/F/E/EN/ES/EX/G/L/A/AT/D/DT alternatives	LFortran handles format syntax through parser-oriented `format` and `format_statement` actions	standardir_advantage	fortran2023.y:1741-1820; parser.yy:1884-1887,2212-2214; J3/24-007 pp. 276-277	retain complete source alternatives; semantic format checks are later
M031	position-descriptor	R1315 emits T n, TL n, TR n and n X, with n as a reference	The pinned parser has no literal TL/TR production; its nearby format handling is parser-oriented	standardir_advantage	fortran2023.y:5002-5015; parser.yy:1884-1887,2212-2214; `rg -n '\bTL\b|\bTR\b' parser.yy` has no matches	retain source-backed split and add executable format handling later
M032	submodule	R1416 keeps both optional body parts and R1417/R1418 preserve parent identifier structure	LFortran has two parser alternatives and combines separators/trivia	standardir_advantage	fortran2023.y:5952-5975; parser.yy:664-673	retain duplicate source occurrence lineage and normative roles
M033	duplicate-occurrences	The source contains repeated R1416/R1404 occurrences; target output merges identical bodies with all source lineage	LFortran has no equivalent normative occurrence lineage	standardir_advantage	fortran2023.y:4520-4522,5952-5954; source-projection.tsv	keep occurrence identity separate from canonical target body
M034	selected-root	standardir_start -> r_program is an explicit selected profile; six declared roots are dispositioned as omitted	LFortran starts at units and accepts implementation/interactive unit forms	expected_difference	fortran2023.y:1-20; grammar-oracles.tsv:25-26; parser.yy:613-619	close only with explicit profile/corpus coverage, not raw closure counts
M035	source-lineage	1,191 provenance headers are emitted across all four generated formats	parser.yy has no document/page/byte/hash lineage per production	standardir_advantage	E0152/R000001/summary.json; E0153/R000002/feature-audit.tsv; fortran2023.y headers	retain lineage through every generic normalization witness
M036	lexer-runtime	StandardIR has a separate source-backed lexer contract but generated Bison has no executable yylex or typed semantic values	LFortran has yylex, typed YYSTYPE, token payloads and lexer/parser integration	reference_advantage	E0151/R000002-candidate/lexer-contract.jsonl; parser.yy:13-18,46-57,94-152	implement a generic lexer ABI/runtime projection without copying actions
M037	precedence	StandardIR preserves numbered precedence productions; current Bison export emits no generated precedence policy	LFortran declares expression precedence and associativity explicitly	reference_advantage	fortran2023.y:1-20; parser.yy:599-611	derive precedence only from source-backed relations and record a witness
M038	ast-actions	StandardIR deliberately emits grammar only and no AST actions	LFortran builds AST/trivia through actions in parser.yy	reference_advantage	fortran2023.y header; parser.yy:658-673,918-930	keep actions outside StandardIR; generate them from a separate AST/wiring contract
M039	role-factoring	Normative role aliases remain distinct and currently yield 427 shift/reduce plus 2,266 reduce/reduce conflicts	LFortran hand-factors parser categories and declares an explicit 238/180 conflict budget	target_specialization_gap	E0153/R000002/feature-audit.tsv; parser.yy:17-18,2445-2505	finish generic role-family factoring with language/corpus preservation
M040	extensions	StandardIR is restricted to source-backed J3/24-007 profile records	LFortran includes implementation-specific forms such as templates/unions and extensions	standardir_advantage	parser.yy:362-386,770-778; source-backed input	keep extensions out of normative IR and represent them as explicit separate profiles
M041	cross-format	EBNF, ANTLR4, Bison and tree-sitter share 650 comparable source-derived heads	LFortran is a single Bison target with different parser factoring	standardir_advantage	E0152/R000001/head-diffs.tsv and summary.json; E0153/R000002/feature-audit.tsv	retain one-source/four-export invariant
M042	language-equivalence	Current validators prove syntax acceptance of target files, not acceptance equivalence with LFortran or the standard corpus	LFortran has a mature executable parser but no one-to-one normative equivalence witness	method_gap	E0151/R000002-candidate/grammar-oracles.tsv; D0094	add positive/negative corpus and normalization-preservation witnesses before M2 closure
M043	exact-source-expression-identity	The c8ebb22 replay emits source rule/location/lineage and expression hashes, but the independent witness rejects 16 source alternatives per format	LFortran's Bison source has no normative source-expression identity witness	standardir_defect	E0154/R000308/source-expression-identity.tsv; R000308	fix generic Unicode canonical bytes and rerun the exact identity gate
M044	unicode-identity	The Fortran fingerprint path disagrees with the UTF-8 oracle for source expressions containing Unicode operator glyphs such as R1010/R712	LFortran is not a source-expression identity oracle and cannot adjudicate this hash	standardir_defect	E0154/R000308/identity.log; validate_identity.py	add an independent non-ASCII digest regression; do not special-case a rule or glyph
M045	merged-provenance-capacity	One four-source helper lineage has a truncated final hash in the generated annotation	LFortran has no comparable source-occurrence lineage field	standardir_defect	E0154/R000308/grammar.ebnf:604-605; D0088	make serialization capacity-safe and mutation-test complete cardinality in every format
M046	synthetic-provenance-type	R401/R402/R403 assumed-expansion records are generated facts without a normative RHS, but the current export labels their generated-expression hashes source-expression-sha256	LFortran has no corresponding StandardIR assumed-expansion provenance layer	standardir_defect	E0154/R000308/grammar.ebnf:19,26; D0024; D0088	separate source-expression identity from generated/target-expression identity
M047	validator-boundary	ANTLR4, Bison and tree-sitter accept the c8ebb22 selected exports while exact source identity fails	LFortran's executable parser remains useful as a behavioral reference, but acceptance is not provenance equivalence	method_gap	E0154/R000309/grammar-oracles.tsv; D0087	keep target-tool acceptance subordinate to exact source mapping and later corpus equivalence
