candidate_no	term	kind	line_start	line_end	disposition	accepted_class	target	source_ref	evidence_substring	origin	reason
1	xyz	metavariable	1849	1854	accepted	metavariable	-	R401-R403	where the letters xyz stand for any syntactic class phrase	LLM	assumed syntax metanotation
2	letter	lexical-class	2758	2766	accepted	lexical-class	letter	6.1.2	The set of letters defines the syntactic class letter	LLM	explicit lexical definition
3	digit	lexical-class	2769	2772	accepted	lexical-class	digit	6.1.3	The ten digits define the syntactic class digit	LLM	explicit lexical definition
4	%	lexical-class	2781	2781	accepted	lexical-class	special-character	Table 6.1	- Minus % Percent	LLM	extrule table names the character
5	<	lexical-class	2784	2784	accepted	lexical-class	special-character	Table 6.1	\ Backslash < Less than	LLM	extrule table names the character
6	>	lexical-class	2785	2785	accepted	lexical-class	special-character	Table 6.1	( Left parenthesis > Greater than	LLM	extrule table names the character
7	’	lexical-class	2787	2787	accepted	lexical-class	special-character	Table 6.1	[ Left square bracket ’ Apostrophe	LLM	extrule table names the character
8	.	lexical-class	2792	2792	accepted	lexical-class	special-character	Table 6.1	. Decimal point or period # Number sign	LLM	extrule table names the character
9	parent-type-name	semantic-role	3590	3628	accepted	semantic-role	extensible-type	C737	A parent-type-name shall be the name of a previously defined extensible type	LLM	explicit constraint relation
10	type-name	semantic-role	3590	3628	retained	-	-	C734	the same as the name of any intrinsic type	LLM	name occurrence is not a definition of type-name
11	procedure-name	semantic-role	4119	4129	accepted	semantic-role	accessible-procedure	C774	The procedure-name shall be the name of an accessible module procedure or an external procedure	LLM	explicit constraint relation
12	binding-name-list	semantic-role	4130	4158	accepted	semantic-role	specific-binding	C777	Each binding-name in binding-name-list shall be the name of a specific binding of the type	LLM	explicit constraint relation
13	type-name	semantic-role	4391	4403	accepted	semantic-role	accessible-derived-type	C795	type-name shall be the name of an accessible derived type	LLM	explicit constraint relation
14	function-name	semantic-role	4899	4926	accepted	semantic-role	procedure-or-function	C809	The function-name shall be the name of an external function	LLM	explicit constraint relation
15	access-name	semantic-role	5599	5614	accepted	semantic-role	accessible-entity	C874	Each access-name shall be the name of a module, variable, procedure, nonintrinsic type, named constant, or namelist group	LLM	explicit constraint relation
16	part-name	semantic-role	6389	6402	accepted	semantic-role	data-object	C912	The leftmost part-name shall be the name of a data object	LLM	explicit constraint relation
17	part-name	semantic-role	6439	6446	accepted	semantic-role	scalar-coarray	C921	The part-name shall be the name of a scalar coarray	LLM	explicit constraint relation
18	type-param-name	semantic-role	6456	6460	accepted	semantic-role	type-parameter	C923	The type-param-name shall be the name of a type parameter of the declared type of the object	LLM	explicit constraint relation
19	type-param-name	semantic-role	7110	7134	accepted	semantic-role	type-parameter	C1001	The type-param-name shall be the name of a type parameter	LLM	explicit constraint relation
