constraint_id	status	form	source_phrase	predicate_a	predicate_b	required_facts	provided_facts	adjudication
C601	resolved	maximum	The maximum length of a name is 63 characters.	(le (name-length name) 63)	-	parsed-name	checked-name-length	accepted
C603	resolved	existence	At least one digit in a label shall be nonzero.	(exists digit-in-label (ne (value digit-in-label) 0))	-	parsed-label	checked-label-digits	accepted
C718	resolved	type-membership	A scalar-int-constant-name shall be a named constant of type integer.	(and (named-constant scalar-int-constant-name) (type-is scalar-int-constant-name integer))	-	resolved-symbol type-fact	checked-kind-constant	accepted
C719	resolved	nonnegative	The value of kind-param shall be nonnegative.	(ge (value kind-param) 0)	-	constant-expression-value	checked-nonnegative-kind	accepted
C721	resolved	implication	If both kind-param and exponent-letter appear, exponent-letter shall be E.	(implies (and (present kind-param) (present exponent-letter)) (eq exponent-letter E))	-	parsed-kind-param parsed-exponent-letter	checked-exponent-letter	accepted
C725	resolved	exclusion	The int-literal-constant shall not include a kind-param.	(not (has-kind-param int-literal-constant))	-	parsed-int-literal	checked-int-literal-kind	accepted
C7117	resolved	finite-domain	digit shall have one of the values 0 or 1.	(in digit (0 1))	-	parsed-digit	checked-digit-domain	accepted
C7118	resolved	finite-domain	digit shall have one of the values 0 through 7.	(in digit (0 1 2 3 4 5 6 7))	-	parsed-digit	checked-digit-domain	accepted
C795	resolved	accessible-membership	type-name shall be the name of an accessible derived type.	(and (resolved type-name) (accessible type-name) (derived-type type-name))	-	resolved-symbol type-fact accessibility-fact	checked-derived-type	accepted
C1404	resolved	conditional-membership	If module-nature is INTRINSIC, module-name shall be the name of an intrinsic module.	(implies (eq module-nature INTRINSIC) (intrinsic-module module-name))	-	parsed-module-nature resolved-module-name module-kind-fact	checked-intrinsic-module	accepted
C1405	resolved	conditional-membership	If module-nature is NON_INTRINSIC, module-name shall be the name of a nonintrinsic module.	(implies (eq module-nature NON_INTRINSIC) (nonintrinsic-module module-name))	-	parsed-module-nature resolved-module-name module-kind-fact	checked-nonintrinsic-module	accepted
C1526	resolved	alternative-membership	A procedure-name shall be a generic name or the name of a procedure.	(or (generic-name procedure-name) (procedure-name procedure-name))	-	resolved-symbol symbol-kind-fact	checked-procedure-name	accepted
C1587	resolved	order-or-association	Named constants in scalar-expr shall have been declared earlier in the scoping unit or made accessible by use	(or (declared-earlier named-constant) (use-accessible named-constant))	-	parsed-scalar-expr declaration-fact use-association-fact	checked-constant-reference	accepted
C1590	resolved	uniqueness	A given dummy-arg-name shall not appear more than once in a given dummy-arg-name-list.	(unique dummy-arg-name-list)	-	parsed-dummy-arg-name-list names-fact	checked-unique-dummy-args	accepted
C738	resolved	conditional-presence	If the type definition contains or inherits (7.5.7.2) a deferred type-bound procedure (7.5.5), ABSTRACT shall appear.	(implies (or (contains-deferred-binding type-definition) (inherits-deferred-binding type-definition)) (present ABSTRACT))	-	type-definition deferred-binding-fact	checked-abstract-presence	accepted
C937	resolved	conditional-alternative	If any allocate-object has a deferred type parameter, is unlimited polymorphic, or is of abstract type, either type-spec or source-expr shall appear.	(implies (or (has-deferred-type-parameter allocate-object) (unlimited-polymorphic allocate-object) (abstract-type allocate-object)) (or (present type-spec) (present source-expr)))	-	allocate-object-facts type-parameter-fact polymorphism-fact	checked-allocate-type-source	accepted
C1017	resolved	conditional-alternative	If data-target is unlimited polymorphic, data-pointer-object shall be unlimited polymorphic, or of a type with the BIND attribute or the SEQUENCE attribute.	(implies (unlimited-polymorphic data-target) (or (unlimited-polymorphic data-pointer-object) (bind-type data-pointer-object) (sequence-type data-pointer-object)))	-	data-target-facts data-pointer-object-facts polymorphism-fact type-fact	checked-unlimited-target-association	accepted
C1166	resolved	exclusion	The type-spec or derived-type-spec shall not specify a derived type with the BIND attribute or the SEQUENCE attribute.	(not (and (derived-type derived-type-spec) (or (has-attribute derived-type-spec BIND) (has-attribute derived-type-spec SEQUENCE))))	-	parsed-type-spec type-fact type-attribute-facts	checked-select-type-spec	accepted
C1588	unresolved	implicit-type-parameter-agreement	-	-	-	-	not-ready
C1579	resolved	conditional-exclusion	If RESULT appears, the entry-name shall not appear in any specification or type declaration statement in the scoping unit of the function subprogram.	(implies (present RESULT) (not (declared-in-specification entry-name)))	-	result-presence declaration-facts	checked-entry-result-name	accepted
C734	resolved	negative-disjunction-scope	A derived type type-name shall not be DOUBLEPRECISION or the same as the name of any intrinsic type defined in this document.	(not (or (eq type-name DOUBLEPRECISION) (intrinsic-type-name type-name)))	-	resolved-type type-name-fact intrinsic-type-fact	checked-type-name	accepted
C1306	resolved	conditional-alternative	w shall be zero or positive for the I, B, O, Z, D, E, EN, ES, EX, F, and G edit descriptors. w shall be positive for all other edit descriptors.	(and (implies (in descriptor (I B O Z D E EN ES EX F G)) (ge w 0)) (implies (not-in descriptor (I B O Z D E EN ES EX F G)) (gt w 0)))	-	parsed-edit-descriptor width-fact	checked-edit-width	accepted
C1515	resolved	conjunction-reference	The name shall be the name of an abstract interface or of a procedure that has an explicit interface. || If name is declared by a procedure-declaration-stmt it shall be previously declared. || If name denotes an intrinsic procedure it shall be one that is listed in Table 16.2.	(and (or (abstract-interface name) (explicit-interface-procedure name)) (implies (procedure-declaration name) (declared-earlier name)) (implies (intrinsic-procedure name) (in-table-16-2 name)))	-	resolved-symbol interface-facts declaration-facts intrinsic-table-fact	checked-interface-name	accepted
